ABC,Water,Gluten%,SV ml,Moisture,Slot
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.7,16,11.22,28,12.81,1
5.3,16,11.22,28,12.81,1
5.3,16,11.22,28,12.81,1
5.3,16,11.22,28,12.81,1
5.3,16,11.22,28,12.81,1
5.8,16,11.22,28,12.81,0
5.8,16,11.22,28,12.81,0
5.8,16,11.22,28,12.81,0
5.9,16,11.22,28,12.81,0
5.9,16,11.22,28,12.81,0
5.9,16,11.22,28,12.81,0
5.9,16,11.22,28,12.81,0
6,16,11.22,28,12.81,0
6,16,11.22,28,12.81,0
5.7,16,11.22,28,12.81,0
5.7,16,11.22,28,12.81,0
5.7,16,11.22,28,12.81,0
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
5.7,18,11.22,28,12.81,2
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,1
4.7,18,11.22,28,12.81,0
4.7,18,11.22,28,12.81,0
4.7,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,18,11.22,28,12.81,0
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,20,11.22,28,12.81,2
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
