,ABC,Water,Gluten%,SV ml,Moisture,Slot
270,6.2,18.0,11.48,27.0,12.98,3.0
271,6.2,18.0,11.48,27.0,12.98,3.0
272,6.2,18.0,11.48,27.0,12.98,3.0
273,6.2,18.0,11.48,27.0,12.98,3.0
274,6.2,18.0,11.48,27.0,12.98,3.0
275,6.2,18.0,11.48,27.0,12.98,3.0
276,6.2,18.0,11.48,27.0,12.98,3.0
277,6.2,18.0,11.48,27.0,12.98,3.0
278,6.2,18.0,11.48,27.0,12.98,3.0
279,6.2,18.0,11.48,27.0,12.98,3.0
280,6.0,18.0,11.48,27.0,12.98,2.0
281,6.0,18.0,11.48,27.0,12.98,2.0
282,6.0,18.0,11.48,27.0,12.98,2.0
283,6.0,18.0,11.48,27.0,12.98,2.0
284,6.0,18.0,11.48,27.0,12.98,2.0
285,6.0,18.0,11.48,27.0,12.98,2.0
286,6.0,18.0,11.48,27.0,12.98,2.0
287,6.0,18.0,11.48,27.0,12.98,2.0
288,6.0,18.0,11.48,27.0,12.98,2.0
289,6.0,18.0,11.48,27.0,12.98,2.0
290,6.0,18.0,11.48,27.0,12.98,2.0
291,6.0,18.0,11.48,27.0,12.98,2.0
292,6.0,18.0,11.48,27.0,12.98,1.0
293,6.1,18.0,11.48,27.0,12.98,1.0
294,6.1,18.0,11.48,27.0,12.98,1.0
295,6.1,18.0,11.48,27.0,12.98,1.0
296,6.1,18.0,11.48,27.0,12.98,1.0
297,6.1,18.0,11.48,27.0,12.98,1.0
298,6.1,18.0,11.48,27.0,12.98,1.0
299,5.9,18.0,11.48,27.0,12.98,1.0
300,5.9,18.0,11.48,27.0,12.98,1.0
301,5.9,18.0,11.48,27.0,12.98,1.0
302,5.9,18.0,11.48,27.0,12.98,1.0
303,5.9,18.0,11.48,27.0,12.98,1.0
304,5.9,18.0,11.48,27.0,12.98,3.0
305,5.9,18.0,11.48,27.0,12.98,3.0
306,5.9,18.0,11.48,27.0,12.98,3.0
307,5.9,18.0,11.48,27.0,12.98,3.0
308,5.9,18.0,11.48,27.0,12.98,3.0
309,5.9,18.0,11.48,27.0,12.98,3.0
310,5.9,18.0,11.48,27.0,12.98,3.0
311,5.9,18.0,11.48,27.0,12.98,3.0
312,6.2,18.0,11.48,27.0,12.98,3.0
313,6.2,18.0,11.48,27.0,12.98,3.0
314,6.2,18.0,11.48,27.0,12.98,3.0
315,6.2,18.0,11.48,27.0,12.98,3.0
316,6.2,18.0,11.48,27.0,12.98,3.0
317,5.9,18.0,11.48,27.0,12.98,3.0
318,5.9,18.0,11.48,27.0,12.98,3.0
319,5.9,18.0,11.48,27.0,12.98,3.0
320,5.9,18.0,11.48,27.0,12.98,3.0
321,5.9,18.0,11.48,27.0,12.98,3.0
322,6.5,18.0,11.48,27.0,12.98,2.0
323,6.5,18.0,11.48,27.0,12.98,2.0
324,6.3,18.0,11.48,27.0,12.98,2.0
325,6.3,18.0,11.48,27.0,12.98,2.0
326,6.3,18.0,11.48,27.0,12.98,2.0
327,6.3,18.0,11.48,27.0,12.98,2.0
328,6.1,18.0,11.48,27.0,12.98,2.0
329,6.1,18.0,11.48,27.0,12.98,2.0
330,6.1,18.0,11.48,27.0,12.98,2.0
331,6.1,18.0,11.48,27.0,12.98,2.0
332,6.1,18.0,11.48,27.0,12.98,2.0
333,6.1,18.0,11.48,27.0,12.98,2.0
334,6.1,18.0,11.48,27.0,12.98,2.0
335,6.1,18.0,11.48,27.0,12.98,2.0
336,6.1,18.0,11.48,27.0,12.98,1.0
337,6.1,18.0,11.48,27.0,12.98,1.0
338,6.1,18.0,11.48,27.0,12.98,1.0
339,6.1,18.0,11.48,27.0,12.98,1.0
340,6.1,18.0,11.48,27.0,12.98,1.0
341,6.1,18.0,11.48,27.0,12.98,1.0
